,10,9,8,7,6,5,4,3,2,1
2025-02-05,1596425.519760792,48708.81587934587,-428440.6408456776,-255479.9041500688,1457486.497361325,-105056.6874035063,26695.155641930105,-3097619.0416915165,-350086.2876977668,1107366.5731451428
2025-02-06,-47850998.33127574,5131560.2862966405,5618348.994594376,5570337.154064376,7693519.87471675,5821992.117744848,2135251.760464157,2629834.9018581156,5618283.285396133,7631869.95614035
2025-02-07,-43556978.05149651,4524885.619620972,5396979.299162211,5597152.026166495,7896209.702444235,5733048.562619848,6393913.567059396,2526964.214314962,-1999910.0880493233,7487735.148157725
2025-02-10,-26119786.880850263,2130606.5519847646,2955236.4223582405,3189125.922167413,5489544.586038408,3317248.416208553,3904258.543009305,4759203.273283661,-4663524.171552742,5038087.337352671
2025-02-11,-24690703.684832074,1614712.9494869336,2368624.8341944693,2595985.920259866,4921641.554268233,2539166.266398309,3075972.9358540354,4190627.6153806867,-5269136.946136655,8653108.555126205
2025-02-12,-26841289.520274185,1790607.0310341788,2260148.978175357,2358048.4167903387,4838501.279438139,2454975.7984740357,5851098.883940021,4091555.8037383948,-5395711.674323081,8592065.003006808
2025-02-13,-12471450.901350988,88900.26016047923,227234.86111269565,885394.6344083771,3495117.078414724,985882.1831106308,4147308.731389406,2563804.188659643,-6909730.57658044,6987539.54067548
2025-02-14,-27114615.181409616,1559018.514163792,2013709.7108382753,2458883.7571872426,5229307.770903352,2728485.5634613363,5307123.895033738,4459523.797055097,-5269848.871104575,8628411.04387137
2025-02-17,-32873626.16044935,2791521.6413430376,3197439.8634729525,2767791.545275105,5063256.152845686,3934379.7217713613,6565083.490398519,5617948.778785692,-7262642.848610204,10198847.815167213
2025-02-18,-35095579.121965535,3665526.64226381,3300174.0802977737,2327863.657532544,4282343.3359231055,3826704.924624369,6491723.061326508,5514663.862088785,-7252374.328537691,12938953.88644635
2025-02-19,-34441032.026322216,1354251.8773647128,1073464.02014184,23423116.269006807,-1837047.2730232477,1628926.15541072,4012152.619326159,3121272.5948826466,-9406149.127615854,11071044.890828451
2025-02-20,-35899891.72593183,2165217.8429739424,1435904.1657031192,26812749.76893323,-5392226.228920187,1982552.3638040647,4189734.7765598893,2754376.947716305,-9291264.238971662,11242846.328133151
2025-02-21,-35254683.270443,2150904.9368689097,1614061.270515255,26834249.191726662,-5357428.177108766,2172793.1751948036,4517970.028934812,2184738.696702321,-9625160.479780966,10762554.627389988
2025-02-24,-34372812.71459511,1689585.0253414712,1452345.5553735874,26672337.75476033,-5149782.921578313,2567495.5236770394,4517794.626393964,1847752.1926080163,-9890778.24830573,10666063.206324764
2025-02-25,-31153081.36334835,1747569.1642392948,822172.226630879,26403543.312592126,-4988772.248866716,2477926.294927017,3894974.999136337,1847987.1689158347,-10838504.314739507,9786184.760513099
2025-02-26,-30403350.959059566,-1712896.1978738485,-10105251.619953828,28384231.981795713,-3208709.246341307,4083409.828407156,5854385.468037365,4283757.624484284,-7680360.699140716,10504783.819644757
2025-02-27,-28793053.08421305,-7815008.25545588,-8846978.168172162,29860333.92010781,-2140807.9616249925,5413466.112678483,7153392.330834145,5623747.17949269,-8252124.426664099,7797032.353017058
2025-02-28,-27216666.358372256,-5494167.0200735405,-6527116.035154627,31942495.750177126,400868.60751344264,8637401.73704662,9649860.1509379,7901914.698172802,-29385481.306045234,10090889.775797768
